날짜 시가 고가 저가 종가 거래량 거래대금 상장주식수 시가총액 외국인현보유수량 기관순매수 ATR_14 "BPDL RSI_14" "BPDL Stochatic_14" "Chande Momentum Oscillator_10" "High Low Envelope_1" "High Low Oscillator_3" LRS_종가,14 "Morris Mixed Momentum" QStick_14 RCI_5 RCI_9 RCI_13 "Reverse 단기_12" RSI(simple)_종가,14 SMI_5,3,3 "Standard Deviation_14,2.00" "Standard Error_종가,14" "Fast %K_5" "Fast %D_3" "Slow %K_5,3" "Slow %D_3" "Slow(Simple) %K_5,3" "Slow(Simple) %D_3" StochOsc_5,3 "True Range" CCI_14
20200507 10110 10240 10110 10230 505 5000000 1000000 10230000000 0 -322 1.7976931348623157e+308 1.7976931348623157e+308 1.7976931348623157e+308 1.7976931348623157e+308 1.7976931348623157e+308 1.7976931348623157e+308 1.7976931348623157e+308 1.7976931348623157e+308 1.7976931348623157e+308 1.7976931348623157e+308 1.7976931348623157e+308 1.7976931348623157e+308 1.7976931348623157e+308 1.7976931348623157e+308 1.7976931348623157e+308 1.7976931348623157e+308 1.7976931348623157e+308 1.7976931348623157e+308 1.7976931348623157e+308 1.7976931348623157e+308 1.7976931348623157e+308 1.7976931348623157e+308 1.7976931348623157e+308 1.7976931348623157e+308 1.7976931348623157e+308 1.7976931348623157e+308
20200508 10335 10540 10325 10525 977783 10238000000 1000000 10525000000 0 -13 1.7976931348623157e+308 1.7976931348623157e+308 1.7976931348623157e+308 1.7976931348623157e+308 619.9902248289344 1.7976931348623157e+308 1.7976931348623157e+308 1.7976931348623157e+308 1.7976931348623157e+308 1.7976931348623157e+308 1.7976931348623157e+308 1.7976931348623157e+308 1.7976931348623157e+308 1.7976931348623157e+308 1.7976931348623157e+308 1.7976931348623157e+308 1.7976931348623157e+308 1.7976931348623157e+308 1.7976931348623157e+308 1.7976931348623157e+308 1.7976931348623157e+308 1.7976931348623157e+308 1.7976931348623157e+308 1.7976931348623157e+308 310.0 1.7976931348623157e+308
20200511 10590 10670 10490 10600 1241 13000000 1000000 10600000000 0 -757 1.7976931348623157e+308 1.7976931348623157e+308 1.7976931348623157e+308 1.7976931348623157e+308 128.26603325415678 1.7976931348623157e+308 1.7976931348623157e+308 1.7976931348623157e+308 1.7976931348623157e+308 1.7976931348623157e+308 1.7976931348623157e+308 1.7976931348623157e+308 1.7976931348623157e+308 1.7976931348623157e+308 1.7976931348623157e+308 1.7976931348623157e+308 1.7976931348623157e+308 1.7976931348623157e+308 1.7976931348623157e+308 1.7976931348623157e+308 1.7976931348623157e+308 1.7976931348623157e+308 1.7976931348623157e+308 1.7976931348623157e+308 180.0 1.7976931348623157e+308
20200512 10620 10620 10460 10565 2222 23000000 1000000 10565000000 0 -968 1.7976931348623157e+308 1.7976931348623157e+308 1.7976931348623157e+308 1.7976931348623157e+308 -52.83018867924528 0.6243540051679586 1.7976931348623157e+308 1.7976931348623157e+308 1.7976931348623157e+308 1.7976931348623157e+308 1.7976931348623157e+308 1.7976931348623157e+308 1.7976931348623157e+308 1.7976931348623157e+308 1.7976931348623157e+308 1.7976931348623157e+308 1.7976931348623157e+308 1.7976931348623157e+308 1.7976931348623157e+308 1.7976931348623157e+308 1.7976931348623157e+308 1.7976931348623157e+308 1.7976931348623157e+308 1.7976931348623157e+308 160.0 1.7976931348623157e+308
20200513 10460 10675 10460 10675 620 7000000 1000000 10675000000 0 600 1.7976931348623157e+308 1.7976931348623157e+308 1.7976931348623157e+308 1.7976931348623157e+308 223.85234264079506 0.5679909560723514 1.7976931348623157e+308 1.7976931348623157e+308 1.7976931348623157e+308 90.0 1.7976931348623157e+308 1.7976931348623157e+308 1.7976931348623157e+308 1.7976931348623157e+308 1.7976931348623157e+308 1.7976931348623157e+308 1.7976931348623157e+308 100.0 1.7976931348623157e+308 1.7976931348623157e+308 1.7976931348623157e+308 1.7976931348623157e+308 1.7976931348623157e+308 1.7976931348623157e+308 215.0 1.7976931348623157e+308
20200514 10600 10665 10575 10645 601 6000000 1400000 14903000000 0 555 1.7976931348623157e+308 1.7976931348623157e+308 1.7976931348623157e+308 1.7976931348623157e+308 -25.292740046838407 0.22843992248062017 1.7976931348623157e+308 1.7976931348623157e+308 1.7976931348623157e+308 80.0 1.7976931348623157e+308 1.7976931348623157e+308 1.7976931348623157e+308 1.7976931348623157e+308 1.7976931348623157e+308 1.7976931348623157e+308 1.7976931348623157e+308 91.42857142857143 1.7976931348623157e+308 1.7976931348623157e+308 1.7976931348623157e+308 1.7976931348623157e+308 1.7976931348623157e+308 1.7976931348623157e+308 100.0 1.7976931348623157e+308
20200515 10760 10760 10575 10655 265 3000000 1400000 14917000000 0 -5 1.7976931348623157e+308 1.7976931348623157e+308 1.7976931348623157e+308 1.7976931348623157e+308 17.379051197745422 0.4250307720511209 1.7976931348623157e+308 1.7976931348623157e+308 1.7976931348623157e+308 60.0 1.7976931348623157e+308 1.7976931348623157e+308 1.7976931348623157e+308 1.7976931348623157e+308 1.7976931348623157e+308 1.7976931348623157e+308 1.7976931348623157e+308 65.0 85.47619047619048 88.88888888888889 1.7976931348623157e+308 80.35714285714286 1.7976931348623157e+308 -20.47619047619048 185.0 1.7976931348623157e+308
20200518 10695 10695 10540 10540 537 6000000 1400000 14756000000 0 509 1.7976931348623157e+308 1.7976931348623157e+308 1.7976931348623157e+308 1.7976931348623157e+308 -167.292351008916 0.34154764409007654 1.7976931348623157e+308 1.7976931348623157e+308 1.7976931348623157e+308 -30.000000000000004 1.7976931348623157e+308 1.7976931348623157e+308 1.7976931348623157e+308 1.7976931348623157e+308 1.7976931348623157e+308 1.7976931348623157e+308 1.7976931348623157e+308 26.666666666666668 61.03174603174603 62.63157894736842 1.7976931348623157e+308 53.511904761904766 1.7976931348623157e+308 -34.36507936507937 155.0 1.7976931348623157e+308
20200519 10650 10650 10530 10645 12484 132000000 1400000 14903000000 0 -991 1.7976931348623157e+308 1.7976931348623157e+308 1.7976931348623157e+308 1.7976931348623157e+308 119.54459203036055 0.6291071553783716 1.7976931348623157e+308 1.7976931348623157e+308 1.7976931348623157e+308 -75.0 54.16666666666667 1.7976931348623157e+308 1.7976931348623157e+308 1.7976931348623157e+308 32.96500920810313 1.7976931348623157e+308 1.7976931348623157e+308 61.66666666666667 51.111111111111114 51.11111111111111 67.54385964912281 57.58928571428572 62.261904761904766 10.555555555555557 120.0 1.7976931348623157e+308
20200520 10655 10835 10655 10825 60690 657000000 1400000 15155000000 0 3 1.7976931348623157e+308 1.7976931348623157e+308 1.7976931348623157e+308 1.7976931348623157e+308 304.3682480037576 0.8423313554669636 1.7976931348623157e+308 535.0 1.7976931348623157e+308 35.0 54.16666666666667 1.7976931348623157e+308 1.7976931348623157e+308 1.7976931348623157e+308 43.99424598417646 1.7976931348623157e+308 1.7976931348623157e+308 96.72131147540983 61.684881602914395 61.87845303867403 58.540381032384516 77.15529859484778 69.70860167837627 35.03642987249544 190.0 1.7976931348623157e+308
20200521 10895 10930 10880 10920 311506 3398000000 1400000 15288000000 0 -47 1.7976931348623157e+308 1.7976931348623157e+308 1.7976931348623157e+308 65.71428571428571 43.87990762124711 1.4711656777334818 1.7976931348623157e+308 475.0 1.7976931348623157e+308 70.0 54.16666666666667 1.7976931348623157e+308 1.7976931348623157e+308 1.7976931348623157e+308 61.695303550973655 1.7976931348623157e+308 1.7976931348623157e+308 97.5 85.2959927140255 86.56716417910447 66.5189094429632 87.32764929742389 78.51812548790008 12.204007285974498 105.0 1.7976931348623157e+308
20200522 10940 10940 10750 10795 41838 451000000 1400000 15113000000 0 18 1.7976931348623157e+308 1.7976931348623157e+308 1.7976931348623157e+308 30.681818181818183 -217.49084249084248 0.7882144178141093 1.7976931348623157e+308 345.0 1.7976931348623157e+308 70.0 59.166666666666664 1.7976931348623157e+308 1.7976931348623157e+308 1.7976931348623157e+308 56.497815180449905 1.7976931348623157e+308 1.7976931348623157e+308 64.63414634146342 86.28515260562442 85.20179372197309 77.88247031325052 75.98089781944365 77.24951165367187 -21.651006264160998 190.0 1.7976931348623157e+308
20200525 10850 10945 10830 10940 40937 447000000 1400000 15316000000 0 -10 1.7976931348623157e+308 1.7976931348623157e+308 1.7976931348623157e+308 35.78947368421053 154.4696618805002 1.0462811219505328 1.7976931348623157e+308 650.0 1.7976931348623157e+308 70.0 65.83333333333333 83.24175824175825 -69.95073891625616 1.7976931348623157e+308 66.53664545267912 1.7976931348623157e+308 1.7976931348623157e+308 98.79518072289156 86.976442354785 86.93877551020408 86.23591113709388 87.3880392711676 82.31877546241974 11.818738368106565 150.0 1.7976931348623157e+308
20200526 10985 11105 10975 11105 11854 131000000 1400000 15547000000 0 54 168.21428571428572 1.7976931348623157e+308 100.0 50.0 196.06946983546618 1.157755945590651 45.747252747252745 570.0 37.142857142857146 70.0 84.16666666666667 83.24175824175825 -65.53672316384181 1.7976931348623157e+308 78.14626572374725 294.5755334340569 104.60587990113225 100.0 87.80977568811834 88.23529411764706 86.79195444994143 93.6940196355838 88.00639754900178 12.190224311881664 165.0 161.8667227244055
20200527 11055 11120 10970 11015 40595 447000000 1400000 15421000000 0 -87 166.91326530612244 74.92063492063492 93.39622641509433 32.075471698113205 -121.56686177397569 0.6288779727953255 39.84615384615385 770.0 25.714285714285715 80.0 88.33333333333333 82.6923076923077 -51.23456790123457 74.92063492063492 72.83483314814589 255.47474814309047 89.28701097959505 71.62162162162163 90.13893411483774 91.09311740890689 88.75572901225269 82.6578206286027 85.33210908880224 -18.51731249321611 150.0 125.5020920502098
