종목코드,종목명,체결잔고수량,체결장부단가,평가금액,평가손익
A000100,유한양행,1,236035.0,235000,-0.06999999999999318
A000120,CJ대한통운,1,155523.0,154000,-0.5999999999999943
A000270,기아차,10,44766.5,441000,-1.2999999999999972
A000660,SK하이닉스,1,95614.0,93000,-1.8400000000000034
A000720,현대건설,12,42564.3333,506000,-0.8799999999999955
A001040,CJ,6,96014.0,578000,0.3400000000000034
A003410,쌍용양회,16,5640.8125,90000,0.25
A003490,대한항공,3,28754.0,85000,-1.1400000000000006
A004990,롯데지주,12,38830.5,466000,0.04000000000000625
A005490,POSCO,1,240036.0,235000,-1.730000000000004
A005930,삼성전자,1,56208.0,55000,-0.9899999999999949
A005935,삼성전자우,2,45606.5,90000,-0.7199999999999989
A006400,삼성SDI,1,233535.0,235000,0.7900000000000063
A007070,GS리테일,6,39322.1667,234000,-0.45000000000000284
A009150,삼성전기,2,125018.0,249000,-0.28000000000000114
A009540,한국조선해양,1,126518.0,126000,-0.28000000000000114
A009830,한화케미칼,5,18702.8,94000,0.519999999999996
A010130,고려아연,8,428313.7499,3390000,-1.0400000000000063
A010140,삼성중공업,13,7201.0769,94000,0.6899999999999977
A011070,LG이노텍,1,140021.0,139000,-0.28000000000000114
A011170,롯데케미칼,1,226533.0,223000,-1.3799999999999955
A012330,현대모비스,1,258038.0,255000,-1.0499999999999972
A012750,에스원,1,94214.0,93000,-0.8100000000000023
A018260,삼성에스디에스,1,196529.0,193000,-1.2900000000000063
A018880,한온시스템,16,11276.625,177000,-1.3799999999999955
A021240,웅진코웨이,1,92813.0,92000,0.04999999999999716
A023530,롯데쇼핑,1,135020.0,135000,0.09000000000000341
A028050,삼성엔지니어링,5,19302.8,95000,-0.7999999999999972
A028260,삼성물산,1,109016.0,108000,-0.7399999999999949
A030200,KT,25,27085.96,673000,-0.5799999999999983
A034220,LG디스플레이,6,16352.3333,97000,-0.8900000000000006
A034730,SK,6,260705.3333,1567000,0.23000000000000398
A035250,강원랜드,3,29754.3333,88000,-0.7800000000000011
A035720,카카오,1,154023.0,153000,-0.5999999999999943
A035760,CJ ENM,1,157923.0,159000,0.7900000000000063
A036570,엔씨소프트,2,540580.5,1079000,-0.18999999999999773
A042660,대우조선해양,3,28104.0,83000,-1.1599999999999966
A047810,한국항공우주,2,34155.0,67000,-0.5699999999999932
A051900,LG생활건강,2,1253687.5,2515000,0.3199999999999932
A066570,LG전자,1,71810.0,71000,0.14000000000000057
A068270,셀트리온,1,183027.0,180000,-1.3700000000000045
A071050,한국금융지주,6,72526.6667,433000,-0.4399999999999977
A078930,GS,1,51807.0,51000,-0.6599999999999966
A081660,휠라코리아,1,53908.0,52000,-1.9399999999999977
A088980,맥쿼리인프라,24,11801.7083,277000,-1.9699999999999989
A097950,CJ제일제당,1,252537.0,251000,-0.28000000000000114
A153130,KODEX 단기채권,1,101590.0,101000,0.01999999999999602
A157450,TIGER 단기통안채,2,101507.5,200000,-1.480000000000004
A161390,한국타이어앤테크놀로지,2,33405.0,66000,0.1700000000000017
A214980,KODEX 단기채권PLUS,2,101670.0,203000,0.04000000000000625
A241560,두산밥캣,8,35155.0,274000,-2.549999999999997
A251350,KODEX 선진국MSCI World,1,15052.0,15000,0.7000000000000028
A263750,펄어비스,2,187277.5,369000,-1.3700000000000045
A271560,오리온,1,106515.0,105000,-1.2099999999999937
A272580,TIGER 단기채권액티브,2,50812.0,100000,-1.5900000000000034
A273130,KODEX 종합채권(AA-이상)액티브,2,108163.5,216000,-0.10999999999999943
A282330,BGF리테일,1,168025.0,169000,0.6099999999999994
