종목코드,종목명,체결잔고수량,체결장부단가,평가금액,평가손익
A000100,유한양행,2,244036.0,469000,-3.75
A000210,대림산업,3,91746.3333,271000,-1.2900000000000063
A000270,기아차,8,44944.0,359000,0.0799999999999983
A000660,SK하이닉스,3,94602.8889,283000,-0.060000000000002274
A000720,현대건설,8,42606.0,340000,-0.1599999999999966
A001040,CJ,5,96134.0,483000,0.6299999999999955
A003550,LG,8,74811.0,597000,-0.15000000000000568
A004020,현대제철,9,32188.0,286000,-1.1599999999999966
A004990,롯데지주,8,38918.0,311000,-0.04999999999999716
A005380,현대차,4,123393.0,488000,-0.9899999999999949
A005387,현대차2우B,2,83362.0,167000,0.5
A006360,GS건설,6,31754.6667,190000,0.18999999999999773
A006800,미래에셋대우,48,7734.2548,372000,0.3199999999999932
A007070,GS리테일,2,39605.5,78000,-0.4000000000000057
A008930,한미사이언스,4,38955.5,152000,-2.069999999999993
A009830,한화케미칼,10,19052.8,188000,-1.3299999999999983
A010130,고려아연,7,428992.4285,2984000,-0.6099999999999994
A011070,LG이노텍,2,134770.0,268000,-0.45999999999999375
A016360,삼성증권,4,39405.5,157000,0.23000000000000398
A017670,SK텔레콤,11,241945.0909,2682000,0.7900000000000063
A018880,한온시스템,8,11301.625,90000,0.5999999999999943
A021240,웅진코웨이,2,92363.0,183000,-0.5499999999999972
A024110,기업은행,40,12391.75,498000,0.6099999999999994
A028260,삼성물산,4,108266.0,424000,-1.8900000000000006
A030000,제일기획,8,24628.5,198000,0.6299999999999955
A030200,KT,22,27144.9091,601000,0.6700000000000017
A032640,LG유플러스,18,14427.0278,257000,-0.7999999999999972
A032830,삼성생명,8,76098.5,611000,0.39000000000000057
A033780,KT&G,3,97180.6667,292000,0.1700000000000017
A034730,SK,4,260538.75,1047000,0.4899999999999949
A035420,NAVER,1,180527.0,180000,-0.28000000000000114
A036460,한국가스공사,13,38523.4102,503000,0.5799999999999983
A042660,대우조선해양,6,27604.0,163000,-1.0
A047050,포스코인터내셔널,5,19202.8,96000,0.23999999999999488
A055550,신한지주,10,45596.5,456000,0.06999999999999318
A066570,LG전자,6,72404.4445,426000,-1.7900000000000063
A068270,셀트리온,1,187528.0,180000,-3.739999999999995
A071050,한국금융지주,4,72585.0,292000,0.5799999999999983
A079440,오렌지라이프,6,29829.3333,179000,0.3100000000000023
A086790,하나금융지주,10,38495.5,385000,0.14000000000000057
A088980,맥쿼리인프라,16,11876.75,189000,-0.06999999999999318
A096770,SK이노베이션,4,153397.5,618000,0.7800000000000011
A097950,CJ제일제당,3,244202.6667,727000,-0.7600000000000051
A105560,KB금융,8,49457.0,394000,-0.37999999999999545
A128940,한미약품,2,305545.0,600000,-1.75
A138930,BNK금융지주,24,7846.1667,185000,-1.230000000000004
A153130,KODEX 단기채권,1,101590.0,101000,0.010000000000005116
A157450,TIGER 단기통안채,2,101507.5,199000,-1.5
A207940,삼성바이오로직스,1,417562.0,412000,-1.2399999999999949
A214980,KODEX 단기채권PLUS,2,101670.0,203000,0.01999999999999602
A241560,두산밥캣,4,35505.0,141000,-0.28000000000000114
A251350,KODEX 선진국MSCI World,1,15052.0,15000,0.5
A267250,현대중공업지주,4,357053.0,1436000,0.5600000000000023
A271560,오리온,2,107266.0,211000,-1.4399999999999977
A272580,TIGER 단기채권액티브,2,50812.0,99000,-1.5999999999999943
A273130,KODEX 종합채권(AA-이상)액티브,2,108163.5,216000,-0.01999999999999602
A282330,BGF리테일,2,166274.0,330000,-0.730000000000004
A316140,우리금융지주,16,12176.75,195000,0.3400000000000034
