종목코드,종목명,체결잔고수량,체결장부단가,평가금액,평가손익
A000120,CJ대한통운,2,154023.0,302000,-1.9000000000000057
A000210,대림산업,1,91913.0,91000,-0.5999999999999943
A000270,기아차,4,45006.5,178000,-0.8299999999999983
A000660,SK하이닉스,1,94780.6667,94000,-0.45000000000000284
A000720,현대건설,4,42656.0,169000,-0.5100000000000051
A000810,삼성화재,6,251037.0,1510000,0.3199999999999932
A001040,CJ,3,95980.6667,288000,0.28000000000000114
A002790,아모레G,1,84612.0,83000,-1.0999999999999943
A003550,LG,6,74827.6667,447000,-0.29999999999999716
A004020,현대제철,3,32354.6667,96000,-0.7399999999999949
A004990,롯데지주,4,39030.5,154000,-0.8499999999999943
A005380,현대차,3,123518.0,366000,-1.0900000000000034
A005490,POSCO,4,246536.5,971000,-1.4899999999999949
A005930,삼성전자,2,56108.0,110000,-1.3400000000000034
A005940,NH투자증권,29,13048.3794,377000,-0.25
A006400,삼성SDI,1,229534.0,227000,-0.9300000000000068
A006800,미래에셋대우,24,7717.4263,185000,0.1599999999999966
A008770,호텔신라,1,85712.25,86000,0.4200000000000017
A009150,삼성전기,3,119517.3333,357000,-0.28000000000000114
A009540,한국조선해양,2,125418.0,252000,0.5999999999999943
A010130,고려아연,5,428563.8,2139000,-0.1599999999999966
A010140,삼성중공업,56,7142.9821,400000,0.10999999999999943
A010950,S-Oil,2,96680.6667,195000,0.8900000000000006
A011170,롯데케미칼,1,235535.0,232000,-1.3400000000000034
A015760,한국전력,3,28054.0,83000,-0.8100000000000023
A017670,SK텔레콤,9,241591.5556,2190000,0.730000000000004
A018260,삼성에스디에스,1,197029.0,196000,-0.030000000000001137
A021240,웅진코웨이,1,92413.0,92000,0.5900000000000034
A023530,롯데쇼핑,2,138020.0,274000,-0.6400000000000006
A024110,기업은행,24,12351.75,298000,0.5300000000000011
A028050,삼성엔지니어링,10,19527.8,192000,-1.4300000000000068
A028260,삼성물산,2,108266.0,217000,0.4099999999999966
A030200,KT,16,27066.5,437000,0.9599999999999937
A032640,LG유플러스,6,14527.0833,86000,-1.1400000000000006
A032830,삼성생명,6,76111.0,455000,-0.15000000000000568
A033780,KT&G,1,96914.0,96000,0.030000000000001137
A034220,LG디스플레이,12,16252.3333,191000,-1.8100000000000023
A034730,SK,2,259788.5,521000,0.39000000000000057
A035250,강원랜드,9,29971.0,268000,-0.3299999999999983
A035420,NAVER,1,185027.0,183000,-0.8199999999999932
A035760,CJ ENM,4,155356.25,626000,0.7900000000000063
A036460,한국가스공사,9,38475.8147,345000,-0.20000000000000284
A036570,엔씨소프트,1,541081.0,538000,-0.45999999999999375
A047810,한국항공우주,2,34405.0,67000,-1.5799999999999983
A051900,LG생활건강,5,1271390.2,6293000,-1.0
A051910,LG화학,1,314047.0,312000,-0.5999999999999943
A055550,신한지주,6,45489.8333,274000,0.4200000000000017
A066570,LG전자,5,72383.3334,361000,-0.09999999999999432
A071050,한국금융지주,2,72310.0,145000,0.8299999999999983
A078930,GS,4,52182.0,211000,1.1099999999999994
A086280,현대글로비스,5,147321.8,730000,-0.8199999999999932
A086790,하나금융지주,6,38472.1667,231000,0.3299999999999983
A096770,SK이노베이션,2,153272.5,306000,-0.12000000000000455
A097950,CJ제일제당,1,244036.0,242000,-0.480000000000004
A105560,KB금융,4,49307.0,199000,0.9300000000000068
A139480,이마트,6,132185.8333,780000,-1.5400000000000063
A153130,KODEX 단기채권,1,101590.0,101000,0.010000000000005116
A157450,TIGER 단기통안채,2,101507.5,203000,0.010000000000005116
A214980,KODEX 단기채권PLUS,2,101670.0,203000,0.010000000000005116
A251350,KODEX 선진국MSCI World,1,15052.0,15000,0.14000000000000057
A267250,현대중공업지주,2,355803.0,717000,0.769999999999996
A272580,TIGER 단기채권액티브,2,50812.0,101000,0.010000000000005116
A273130,KODEX 종합채권(AA-이상)액티브,2,108163.5,216000,-0.060000000000002274
