종목코드,종목명,체결잔고수량,체결장부단가,평가금액,평가손익
A000270,기아차,10,44766.5,442000,-1.1899999999999977
A000720,현대건설,10,42616.0,423000,-0.6500000000000057
A001040,CJ,6,96014.0,576000,0.14000000000000057
A003410,쌍용양회,16,5640.8125,90000,0.25
A003490,대한항공,3,27554.0,84000,2.4399999999999977
A004990,롯데지주,10,38825.5,387000,-0.20000000000000284
A005490,POSCO,1,240036.0,237000,-0.9000000000000057
A005940,NH투자증권,7,12901.8571,90000,0.10999999999999943
A006800,미래에셋대우,60,7723.6205,460000,-0.5699999999999932
A007070,GS리테일,4,39205.5,156000,0.09999999999999432
A009150,삼성전기,1,124518.0,125000,0.519999999999996
A010130,고려아연,8,428313.7499,3394000,-0.9200000000000017
A011170,롯데케미칼,1,226533.0,227000,0.5999999999999943
A012330,현대모비스,1,258038.0,256000,-0.46999999999999886
A012750,에스원,1,94214.0,94000,0.04000000000000625
A016360,삼성증권,6,39238.8333,233000,-0.6200000000000045
A017670,SK텔레콤,12,241702.5833,2842000,-2.0
A018880,한온시스템,16,11276.625,179000,-0.5
A023530,롯데쇼핑,1,135020.0,133000,-1.019999999999996
A030200,KT,25,27085.96,665000,-1.6899999999999977
A032640,LG유플러스,18,14427.0278,253000,-2.530000000000001
A034730,SK,5,260238.6,1309000,0.5999999999999943
A035250,강원랜드,3,29754.3333,88000,-0.6099999999999994
A035760,CJ ENM,1,157123.0,158000,0.7399999999999949
A036460,한국가스공사,15,38467.6888,566000,-1.7399999999999949
A036570,엔씨소프트,1,538080.0,539000,0.28000000000000114
A047050,포스코인터내셔널,10,19052.8,188000,-1.3299999999999983
A051900,LG생활건강,1,1250187.0,1254000,0.35999999999999943
A071050,한국금융지주,5,72450.0,361000,-0.3299999999999983
A078930,GS,1,51807.0,52000,0.4899999999999949
A086280,현대글로비스,1,146021.0,144000,-1.2999999999999972
A088980,맥쿼리인프라,24,11801.7083,278000,-1.5499999999999972
A153130,KODEX 단기채권,1,101590.0,101000,0.030000000000001137
A157450,TIGER 단기통안채,2,101507.5,200000,-1.480000000000004
A161390,한국타이어앤테크놀로지,2,33405.0,66000,-0.12999999999999545
A207940,삼성바이오로직스,2,418312.0,856000,2.4000000000000057
A214980,KODEX 단기채권PLUS,2,101670.0,203000,0.04000000000000625
A241560,두산밥캣,6,35105.0,210000,-0.14000000000000057
A251350,KODEX 선진국MSCI World,1,15052.0,15000,0.9000000000000057
A263750,펄어비스,1,188528.0,186000,-1.1299999999999955
A272580,TIGER 단기채권액티브,2,50812.0,100000,-1.5799999999999983
A273130,KODEX 종합채권(AA-이상)액티브,2,108163.5,216000,-0.09000000000000341
