종목코드,종목명,체결잔고수량,체결장부단가,평가금액,평가손익
A000100,유한양행,1,244536.0,241000,-1.0999999999999943
A000210,대림산업,2,91963.0,181000,-1.3100000000000023
A000270,기아차,6,44939.8333,268000,-0.45999999999999375
A000660,SK하이닉스,2,94897.3334,186000,-1.6299999999999955
A000720,현대건설,6,42622.6667,255000,-0.20000000000000284
A000810,삼성화재,7,251251.2857,1745000,-0.7600000000000051
A001040,CJ,4,96064.0,384000,-0.01999999999999602
A002790,아모레G,2,83812.0,163000,-2.5400000000000063
A003410,쌍용양회,17,5720.8235,98000,0.9399999999999977
A003550,LG,7,74782.4286,523000,0.030000000000001137
A004020,현대제철,6,32254.6667,191000,-1.0499999999999972
A004990,롯데지주,6,38905.5,232000,-0.28000000000000114
A005380,현대차,4,123393.0,486000,-1.3900000000000006
A005387,현대차2우B,1,83012.0,83000,0.3199999999999932
A005940,NH투자증권,36,13058.7779,468000,-0.3299999999999983
A006360,GS건설,3,31704.6667,94000,-0.28000000000000114
A006800,미래에셋대우,36,7728.6453,277000,-0.25
A008930,한미사이언스,2,38955.5,77000,-0.5300000000000011
A009540,한국조선해양,3,125784.6667,374000,-0.8900000000000006
A009830,한화케미칼,5,19102.8,94000,-0.7999999999999972
A010130,고려아연,6,428813.8333,2573000,0.010000000000005116
A010140,삼성중공업,69,7148.2608,487000,-1.0799999999999983
A010950,S-Oil,3,97125.1111,286000,-1.730000000000004
A011070,LG이노텍,1,134520.0,134000,0.09000000000000341
A011170,롯데케미칼,2,233784.5,465000,-0.39000000000000057
A015760,한국전력,3,28054.0,82000,-1.519999999999996
A016360,삼성증권,2,39355.5,78000,-0.28000000000000114
A017670,SK텔레콤,10,241786.0,2423000,0.23999999999999488
A018260,삼성에스디에스,2,197029.0,388000,-1.2900000000000063
A021240,웅진코웨이,2,92363.0,183000,-0.6599999999999966
A023530,롯데쇼핑,3,138186.6667,409000,-1.1200000000000045
A024110,기업은행,32,12376.75,397000,0.3299999999999983
A028260,삼성물산,3,108349.3333,323000,-0.5900000000000034
A030000,제일기획,4,24453.5,98000,0.5400000000000063
A030200,KT,19,27111.8947,518000,0.6099999999999994
A032640,LG유플러스,12,14464.5417,171000,-1.4000000000000057
A032830,삼성생명,7,76096.7143,530000,-0.39000000000000057
A033780,KT&G,2,97014.0,194000,0.030000000000001137
A034730,SK,3,260038.6667,783000,0.4899999999999949
A035250,강원랜드,12,29954.3333,362000,0.7199999999999989
A035760,CJ ENM,5,155729.6,773000,-0.5999999999999943
A036460,한국가스공사,11,38508.4848,422000,-0.1599999999999966
A036570,엔씨소프트,2,540581.0,1061000,-1.8499999999999943
A042660,대우조선해양,3,27604.0,82000,-0.45999999999999375
A051900,LG생활건강,5,1271390.2,6243000,-1.7900000000000063
A051910,LG화학,1,315547.0,310000,-1.5400000000000063
A055550,신한지주,8,45569.0,363000,-0.3100000000000023
A066570,LG전자,6,72404.4445,430000,-0.8199999999999932
A071050,한국금융지주,3,72443.3333,217000,-0.04999999999999716
A079440,오렌지라이프,3,29754.3333,88000,-0.45000000000000284
A081660,휠라코리아,1,54208.0,54000,-0.09000000000000341
A086790,하나금융지주,8,38530.5,305000,-0.730000000000004
A088980,맥쿼리인프라,8,11851.75,94000,0.14000000000000057
A096770,SK이노베이션,3,153189.0,460000,0.2600000000000051
A097950,CJ제일제당,2,244786.0,482000,-1.4000000000000057
A105560,KB금융,6,49507.0,295000,-0.480000000000004
A128940,한미약품,1,306045.0,303000,-0.769999999999996
A138930,BNK금융지주,12,7851.1667,92000,-1.2900000000000063
A153130,KODEX 단기채권,1,101590.0,101000,0.010000000000005116
A157450,TIGER 단기통안채,2,101507.5,203000,0.01999999999999602
A214980,KODEX 단기채권PLUS,2,101670.0,203000,0.01999999999999602
A241560,두산밥캣,2,35355.0,70000,0.0
A251270,넷마블,1,92213.0,90000,-1.6800000000000068
A251350,KODEX 선진국MSCI World,1,15052.0,15000,0.4399999999999977
A263750,펄어비스,1,185027.0,185000,0.04000000000000625
A267250,현대중공업지주,3,356386.3333,1071000,0.18999999999999773
A271560,오리온,1,107016.0,106000,-0.28000000000000114
A272580,TIGER 단기채권액티브,2,50812.0,101000,0.010000000000005116
A273130,KODEX 종합채권(AA-이상)액티브,2,108163.5,216000,0.01999999999999602
A282330,BGF리테일,1,166024.0,165000,-0.5799999999999983
A316140,우리금융지주,8,12201.75,96000,-1.0999999999999943
