,meanP,stdP
A Ratio_20,105.19447150073509,42.584272477149895
B Ratio_20,108.44667681311289,199.63435931875094
Aroon_20 Up,46.53484872910957,35.96537222017593
Down,49.744478478155735,35.75935636445944
Aroon Osillator_20,-3.2096297490461603,62.80319401163094
BB-RSI_종가_10,49.00669959655086,14.287701879696554
BB-RSI_20_2.00 상한,66.79838520482701,12.314198178750692
BB-RSI 하한,31.24901961058119,12.212255247693092
Chande Momentum Oscillator_10,-1.8064313753683474,39.334970858936735
"Chaikin's Volatility_14,14",2.57957184062543,50.287111316890915
CompuTrac Volatility_10,103.46854368121656,34.12795346029691
+DI_14,21.15435316581823,8.138068573892559
-DI_14,21.69336940164625,7.617991313212082
+DI(simple)_14,21.063056907218332,10.489898117625728
-DI(simple)_14,21.586688984524752,10.045219226389058
Energy+_14,108.1307135034226,54.83763305173617
Energy-_14,114.36691459166937,52.035156475598924
High Low Oscillator_3,0.5034561183827884,0.3190956109984311
"Inertia_20,14,10",49.28264621584775,11.98971167254276
"Linear Trend Oscillator_10,20",-0.3506877814500601,99.913768626864
Open Difference_15,-23.57576441506798,3360.337602937599
"Random Walk Index_15,3",4.957041221409237,2.1943857767939674
RCI_5,-2.4395722499865657,68.39518814564231
RCI_9,-2.876708402744168,64.16604340276618
RCI_13,-3.344671342414346,63.50432727904127
RCI_18,-3.737792132162417,63.56901633797113
"Relative Volatility Index_단순,14,10",49.3009114322935,13.890986980652205
Reverse 단기_12,2.4924587072853583,48.02140040736368
 장기_24,2.925652203286775,38.1604400343359
"RSI_종가,14",48.977721470164596,12.151262621263285
"RSI(simple)_종가,14",49.13836784618111,16.91142608330774
"Sigma_종가,20",-0.06449209461530236,1.3324757584194524
"SMI_5,3,3",-2.9856774367486296,43.37100996559209
Fast %K_5,48.690258068772444,30.20149434208938
Fast %D_3,48.65635394645306,25.070948006132213
"Slow %K_5,3",48.64519982830596,25.441559609165527
Slow %D_3,48.60820019221972,23.557399138098386
"Slow(Simple) %K_5,3",48.65901563931993,23.77482981903753
Slow(Simple) %D_3,48.63019626769211,20.799799954682474
"StochOsc_5,3",0.0339041223200811,18.182766669614765
"TRIX기울기_종가,14",-0.0001125993723244403,0.03241400579022576
"TSF Oscillator_종가,14,28",-11.08504552689241,6964.3403057685755
VHF_14,0.42669968399976094,0.1386138275917767
CCI_14,-4.729972920145428,109.64307820392366
