,meanP,stdP
A Ratio_20,109.99818330218302,66.58234469050907
B Ratio_20,104.47100838880442,411.84476794919533
Aroon_20 Up,48.37766698919265,36.49432917375456
Down,48.25352181970251,36.00824178189321
Aroon Osillator_20,0.12414516949013563,63.90909080596763
BB-RSI_종가_10,50.47750973891892,15.784680884430951
BB-RSI_20_2.00 상한,68.07257724323969,13.085535232467388
BB-RSI 하한,32.961680894558114,15.081230482063155
Chande Momentum Oscillator_10,1.2202458251112256,41.38228361902807
"Chaikin's Volatility_14,14",2.0164064895312106,27.435418666428653
CompuTrac Volatility_10,103.52235277588798,37.40734506273868
+DI_14,22.28834859706743,9.305615136518151
-DI_14,21.96006471826188,8.028832402255393
+DI(simple)_14,22.24734756770633,11.526163526283149
-DI(simple)_14,21.828774357000707,10.41550262737886
Energy+_14,114.37788876271414,106.42572444019407
Energy-_14,109.68751014935596,50.92305897827396
High Low Oscillator_3,0.5199585630427495,0.38064036202442986
"Inertia_20,14,10",50.89819119562864,13.593783543343244
"Linear Trend Oscillator_10,20",-0.38466025866526915,99.3280783098688
Open Difference_15,-43.13101661282123,3341.2669879344617
"Random Walk Index_15,3",4.868502643625086,2.124430662775478
RCI_5,0.7247814749823704,69.02362811794633
RCI_9,0.7904209784017171,65.2534423569736
RCI_13,0.6204825562944225,64.6448769285866
RCI_18,0.2952795834149628,64.66356876399516
"Relative Volatility Index_단순,14,10",50.83740972087607,15.260399190068766
Reverse 단기_12,-0.8330757155894708,49.663896081432
 장기_24,-0.42744966745930685,40.565642464665096
"RSI_종가,14",50.437762580418735,13.904570725825604
"RSI(simple)_종가,14",50.61408692173327,18.100278918488687
"Sigma_종가,20",-0.003819420076222922,1.3417593063525184
"SMI_5,3,3",0.6561785035370157,45.33345607582999
Fast %K_5,50.43592528964973,30.930774721571215
Fast %D_3,50.43444291244052,25.908366408731965
"Slow %K_5,3",50.42183057046939,26.278868569208193
Slow %D_3,50.41312860390464,24.45608756471392
"Slow(Simple) %K_5,3",50.433533463745086,24.64480295598406
Slow(Simple) %D_3,50.43100085928048,21.7773915558505
"StochOsc_5,3",0.001482377210226079,18.264408908537597
"TRIX기울기_종가,14",-5.844286656422994e-05,0.028936551492887905
"TSF Oscillator_종가,14,28",-6.160440665761459,5854.428489180792
VHF_14,0.43599366233029985,0.1521302197519169
CCI_14,-0.31256480504577533,109.47706734860584
