0,1,2,3
A000660,SK하이닉스,1,93800
A035420,NAVER,3,182000
A207940,삼성바이오로직스,4,417000
A068270,셀트리온,7,185000
A055550,신한지주,8,45550
A051910,LG화학,9,312500
A105560,KB금융,11,49450
A028260,삼성물산,12,108000
A017670,SK텔레콤,14,242500
A034730,SK,15,262000
A000270,기아차,16,44700
A032830,삼성생명,20,76300
A096770,SK이노베이션,21,154000
A033780,KT&G,22,97400
A003550,LG,24,74900
A086790,하나금융지주,28,38250
A090430,아모레퍼시픽,29,198000
A010950,S-Oil,30,97200
A009150,삼성전기,31,121000
A009540,한국조선해양,32,125500
A316140,우리금융지주,33,12050
A010130,고려아연,34,429500
A011170,롯데케미칼,35,232000
A251270,넷마블,36,91700
A024110,기업은행,38,12400
A030200,KT,39,27300
A091990,셀트리온헬스케어,40,55200
A002790,아모레G,41,83000
A035250,강원랜드,43,30300
A032640,LG유플러스,44,14350
A018880,한온시스템,45,11350
A267250,현대중공업지주,48,358000
A006800,미래에셋대우,49,7700
A000720,현대건설,50,42450
A078930,GS,51,53200
A004020,현대제철,54,31900
A271560,오리온,55,108000
A088980,맥쿼리인프라,57,11900
A071050,한국금융지주,60,73000
A097950,CJ제일제당,62,242000
A023530,롯데쇼핑,63,137000
A004990,롯데지주,64,38750
A005940,NH투자증권,67,13100
A036460,한국가스공사,69,38550
A128940,한미약품,71,304000
A241560,두산밥캣,72,35350
A016360,삼성증권,73,39450
A035760,CJ ENM,75,155900
A081660,휠라코리아,77,54000
A000210,대림산업,78,91000
A011070,LG이노텍,79,135500
A009830,한화케미칼,81,18850
A042660,대우조선해양,82,27600
A000100,유한양행,83,242000
A005387,현대차2우B,84,83500
A007070,GS리테일,85,39450
A030000,제일기획,87,24700
A003410,쌍용양회,88,5750
A001040,CJ,89,96000
A282330,BGF리테일,90,165500
A138930,BNK금융지주,93,7850
A006360,GS건설,94,31650
A079440,오렌지라이프,97,29600
A008930,한미사이언스,98,38800
A047050,포스코인터내셔널,99,19200
