index,allocation,name
A219480,0.5,KODEX 미국S&P500선물(H)
A261250,0.48,KODEX 미국달러선물레버리지
A005935,0.02,삼성전자우
A133690,0.0,TIGER 미국나스닥100
A088980,0.0,맥쿼리인프라
A245710,0.0,KINDEX 베트남VN30(합성)
