index,allocation,name
A219480,0.38,KODEX 미국S&P500선물(H)
A133690,0.1,TIGER 미국나스닥100
A143850,0.1,TIGER 미국S&P500선물(H)
A261250,0.42,KODEX 미국달러선물레버리지
