index,allocation,name
A204480,0.1,TIGER 차이나CSI300레버리지(합성)
A245710,0.28,KINDEX 베트남VN30(합성)
A270810,0.1,KBSTAR 코스닥150
A133690,0.42,TIGER 미국나스닥100
A225040,0.1,TIGER 미국S&P500레버리지(합성 H)
