0,1,2,3
A005930,삼성전자,0,55400
A000660,SK하이닉스,1,94800
A005935,삼성전자우,2,45300
A035420,NAVER,3,180500
A207940,삼성바이오로직스,4,413500
A005380,현대차,5,122500
A012330,현대모비스,6,261000
A068270,셀트리온,7,189500
A055550,신한지주,8,45750
A005490,POSCO,10,243000
A105560,KB금융,11,49400
A028260,삼성물산,12,106500
A051900,LG생활건강,13,1257000
A017670,SK텔레콤,14,244500
A034730,SK,15,262500
A000270,기아차,16,45100
A032830,삼성생명,20,76600
A096770,SK이노베이션,21,155000
A033780,KT&G,22,97600
A035720,카카오,23,148000
A003550,LG,24,74900
A036570,엔씨소프트,27,537000
A086790,하나금융지주,28,38650
A009150,삼성전기,31,123000
A316140,우리금융지주,33,12250
A010130,고려아연,34,427500
A011170,롯데케미칼,35,230500
A024110,기업은행,38,12500
A030200,KT,39,27400
A091990,셀트리온헬스케어,40,57300
A021240,웅진코웨이,42,92100
A035250,강원랜드,43,30600
A018880,한온시스템,45,11400
A034220,LG디스플레이,46,15850
A086280,현대글로비스,47,148000
A267250,현대중공업지주,48,360000
A006800,미래에셋대우,49,7780
A000720,현대건설,50,42650
A078930,GS,51,53200
A004020,현대제철,54,31900
A271560,오리온,55,106000
A161390,한국타이어앤테크놀로지,56,34150
A088980,맥쿼리인프라,57,11900
A028300,에이치엘비,58,101000
A071050,한국금융지주,60,73200
A097950,CJ제일제당,62,243000
A023530,롯데쇼핑,63,136500
A004990,롯데지주,64,39000
A012750,에스원,65,95000
A005940,NH투자증권,67,13300
A036460,한국가스공사,69,38850
A128940,한미약품,71,306500
A241560,두산밥캣,72,35500
A016360,삼성증권,73,39600
A035760,CJ ENM,75,158100
A000210,대림산업,78,90800
A011070,LG이노텍,79,134500
A009830,한화케미칼,81,18850
A000100,유한양행,83,246000
A005387,현대차2우B,84,84000
A007070,GS리테일,85,39550
A030000,제일기획,87,24850
A003410,쌍용양회,88,5910
A001040,CJ,89,97000
A282330,BGF리테일,90,165500
A003490,대한항공,92,27900
A006360,GS건설,94,31900
A263750,펄어비스,95,188500
A079440,오렌지라이프,97,30000
A008930,한미사이언스,98,38950
A047050,포스코인터내셔널,99,19300
