index,allocation,name
A219480,0.22,KODEX 미국S&P500선물(H)
A133690,0.1,TIGER 미국나스닥100
A261250,0.48,KODEX 미국달러선물레버리지
A223190,0.1,KODEX 200가치저변동
A292050,0.1,KBSTAR KRX300
