index,allocation,name
A219480,0.26,KODEX 미국S&P500선물(H)
A223190,0.1,KODEX 200가치저변동
A133690,0.1,TIGER 미국나스닥100
A261250,0.44,KODEX 미국달러선물레버리지
A143850,0.1,TIGER 미국S&P500선물(H)
