index,allocation,name
A270810,0.1,KBSTAR 코스닥150
A245710,0.3,KINDEX 베트남VN30(합성)
A133690,0.4,TIGER 미국나스닥100
A204480,0.1,TIGER 차이나CSI300레버리지(합성)
A314250,0.1,KODEX 미국FANG플러스(H)
