0,1,2,3
A005930,삼성전자,0,56500
A000660,SK하이닉스,1,96000
A005935,삼성전자우,2,45700
A035420,NAVER,3,183500
A207940,삼성바이오로직스,4,429500
A068270,셀트리온,7,184000
A051910,LG화학,9,310500
A028260,삼성물산,12,109000
A051900,LG생활건강,13,1258000
A034730,SK,15,262500
A006400,삼성SDI,18,233000
A018260,삼성에스디에스,19,195500
A035720,카카오,23,153500
A066570,LG전자,26,71800
A036570,엔씨소프트,27,541000
A010950,S-Oil,30,96100
A009150,삼성전기,31,125500
A009540,한국조선해양,32,126500
A091990,셀트리온헬스케어,40,54100
A021240,웅진코웨이,42,91900
A034220,LG디스플레이,46,16350
A000720,현대건설,50,42450
A010140,삼성중공업,53,7190
A271560,오리온,55,106000
A028300,에이치엘비,58,107000
A071050,한국금융지주,60,72400
A028050,삼성엔지니어링,61,19250
A097950,CJ제일제당,62,250000
A004990,롯데지주,64,38850
A000120,CJ대한통운,70,154500
A241560,두산밥캣,72,35150
A047810,한국항공우주,74,33950
A035760,CJ ENM,75,158700
A008770,호텔신라,76,87300
A081660,휠라코리아,77,53800
A011070,LG이노텍,79,140000
A003670,포스코케미칼,80,47500
A009830,한화케미칼,81,18850
A042660,대우조선해양,82,27900
A000100,유한양행,83,236500
A007070,GS리테일,85,39350
A282330,BGF리테일,90,168500
A003490,대한항공,92,28300
A263750,펄어비스,95,186900
