0,1,2,3
A005930,삼성전자,0,54700
A000660,SK하이닉스,1,87900
A005935,삼성전자우,2,44900
A207940,삼성바이오로직스,4,396000
A012330,현대모비스,6,260500
A068270,셀트리온,7,172000
A055550,신한지주,8,45650
A051910,LG화학,9,303000
A005490,POSCO,10,243000
A105560,KB금융,11,50000
A028260,삼성물산,12,104000
A051900,LG생활건강,13,1246000
A017670,SK텔레콤,14,240500
A000270,기아차,16,44450
A006400,삼성SDI,18,229500
A018260,삼성에스디에스,19,199000
A032830,삼성생명,20,76200
A096770,SK이노베이션,21,148500
A033780,KT&G,22,95800
A035720,카카오,23,151000
A003550,LG,24,75100
A000810,삼성화재,25,253000
A066570,LG전자,26,72200
A086790,하나금융지주,28,38600
A090430,아모레퍼시픽,29,195500
A010950,S-Oil,30,92600
A009150,삼성전기,31,122500
A009540,한국조선해양,32,125000
A316140,우리금융지주,33,12150
A010130,고려아연,34,428000
A011170,롯데케미칼,35,226000
A251270,넷마블,36,90300
A069500,KODEX 200,37,29050
A024110,기업은행,38,12400
A030200,KT,39,26950
A091990,셀트리온헬스케어,40,48700
A002790,아모레G,41,80500
A035250,강원랜드,43,30650
A032640,LG유플러스,44,13900
A018880,한온시스템,45,11100
A034220,LG디스플레이,46,15950
A086280,현대글로비스,47,149000
A267250,현대중공업지주,48,342500
A006800,미래에셋대우,49,7720
A000720,현대건설,50,43900
A078930,GS,51,51500
A029780,삼성카드,52,40000
A010140,삼성중공업,53,7150
A004020,현대제철,54,32300
A271560,오리온,55,108500
A161390,한국타이어앤테크놀로지,56,34100
A028300,에이치엘비,58,98200
A005830,DB손해보험,59,58900
A071050,한국금융지주,60,71900
A028050,삼성엔지니어링,61,19900
A097950,CJ제일제당,62,254000
A023530,롯데쇼핑,63,134500
A004990,롯데지주,64,36250
A139480,이마트,66,131500
A005940,NH투자증권,67,13000
A102110,TIGER 200,68,29055
A036460,한국가스공사,69,38750
A000120,CJ대한통운,70,155000
A241560,두산밥캣,72,34300
A016360,삼성증권,73,38150
A035760,CJ ENM,75,153900
A008770,호텔신라,76,85400
A081660,휠라코리아,77,54000
A000210,대림산업,78,91600
A003670,포스코케미칼,80,49800
A009830,한화케미칼,81,18700
A042660,대우조선해양,82,28150
A000100,유한양행,83,235500
A005387,현대차2우B,84,81800
A007070,GS리테일,85,37850
A030000,제일기획,87,24850
A003410,쌍용양회,88,5660
A001040,CJ,89,96300
A282330,BGF리테일,90,161000
A001450,현대해상,91,29700
A003490,대한항공,92,27350
A138930,BNK금융지주,93,7870
A006360,GS건설,94,32000
A263750,펄어비스,95,192000
A122630,KODEX 레버리지,96,13720
A079440,오렌지라이프,97,29900
A008930,한미사이언스,98,37450
A047050,포스코인터내셔널,99,19600
