0,1,2,3
A005930,삼성전자,0,56000
A000660,SK하이닉스,1,93600
A005935,삼성전자우,2,45750
A035420,NAVER,3,179000
A207940,삼성바이오로직스,4,395500
A005380,현대차,5,123500
A068270,셀트리온,7,180500
A055550,신한지주,8,45450
A051910,LG화학,9,309000
A005490,POSCO,10,246500
A105560,KB금융,11,49400
A028260,삼성물산,12,107500
A051900,LG생활건강,13,1266000
A017670,SK텔레콤,14,243000
A034730,SK,15,257000
A015760,한국전력,17,28400
A032830,삼성생명,20,76400
A096770,SK이노베이션,21,152000
A033780,KT&G,22,97300
A003550,LG,24,74700
A000810,삼성화재,25,252000
A066570,LG전자,26,72500
A086790,하나금융지주,28,38600
A090430,아모레퍼시픽,29,200000
A010950,S-Oil,30,96700
A009540,한국조선해양,32,126000
A316140,우리금융지주,33,12000
A011170,롯데케미칼,35,227000
A024110,기업은행,38,12350
A091990,셀트리온헬스케어,40,52500
A002790,아모레G,41,80700
A021240,웅진코웨이,42,93600
A035250,강원랜드,43,30000
A032640,LG유플러스,44,14400
A018880,한온시스템,45,11200
A086280,현대글로비스,47,146500
A267250,현대중공업지주,48,353500
A006800,미래에셋대우,49,7720
A000720,현대건설,50,42550
A078930,GS,51,52200
A029780,삼성카드,52,40950
A161390,한국타이어앤테크놀로지,56,34300
A028300,에이치엘비,58,98900
A071050,한국금융지주,60,72200
A028050,삼성엔지니어링,61,19300
A023530,롯데쇼핑,63,136000
A004990,롯데지주,64,38550
A012750,에스원,65,96200
A139480,이마트,66,132000
A005940,NH투자증권,67,13000
A036460,한국가스공사,69,38650
A000120,CJ대한통운,70,152000
A128940,한미약품,71,300000
A241560,두산밥캣,72,34000
A016360,삼성증권,73,38700
A035760,CJ ENM,75,155200
A008770,호텔신라,76,85600
A081660,휠라코리아,77,52200
A000210,대림산업,78,90100
A011070,LG이노텍,79,132000
A042660,대우조선해양,82,27700
A000100,유한양행,83,238000
A005387,현대차2우B,84,83200
A007070,GS리테일,85,39300
A004170,신세계,86,290500
A030000,제일기획,87,24500
A003410,쌍용양회,88,5630
A001040,CJ,89,96000
A282330,BGF리테일,90,163500
A001450,현대해상,91,29100
A003490,대한항공,92,27750
A138930,BNK금융지주,93,7860
A006360,GS건설,94,31450
A079440,오렌지라이프,97,29500
A008930,한미사이언스,98,37800
A047050,포스코인터내셔널,99,19400
