index,allocation,name
A245710,0.1,KINDEX 베트남VN30(합성)
A270810,0.12,KBSTAR 코스닥150
A133690,0.1,TIGER 미국나스닥100
A314250,0.1,KODEX 미국FANG플러스(H)
A261250,0.58,KODEX 미국달러선물레버리지
