날짜 시가 고가 저가 종가 거래량 거래대금 상장주식수 시가총액 외국인현보유수량 기관순매수 "A Ratio_20" "B Ratio_20" "Aroon_20 Up" Down "Aroon Osillator_20" ATR_14 BB-RSI_종가_10 "BB-RSI_20_2.00 상한" "BB-RSI 하한" "BPDL RSI_14" "BPDL Stochatic_14" "Chande Momentum Oscillator_10" "Chaikin's Volatility_14,14" "CompuTrac Volatility_10" +DI_14 -DI_14 ADX_14 ADXR_14 +DI(simple)_14 -DI(simple)_14 ADX(simple)_14,14 ADXR(simple)_14,14,14 Energy+_14 Energy-_14 "High Low Envelope_1" "High Low Oscillator_3" Inertia_20,14,10 "Klinger Oscillator" "Linear Trend Oscillator_10,20" LRS_종가,14 "Mass Index_20,9" "Morris Mixed Momentum" "New BPDL HiLo Index MA_14,7" "Open Difference_15" QStick_14 "Random Walk Index_15,3" RCI_5 RCI_9 RCI_13 RCI_18 "Relative Volatility Index_단순,14,10" "Reverse 단기_12" " 장기_24" RSI_종가,14 RSI(simple)_종가,14 Sigma_종가,20 SMI_5,3,3 "Standard Deviation_14,2.00" "Standard Error_종가,14" "Fast %K_5" "Fast %D_3" "Slow %K_5,3" "Slow %D_3" "Slow(Simple) %K_5,3" "Slow(Simple) %D_3" StochOsc_5,3 TRIX기울기_종가,14 "True Range" "TSF Oscillator_종가,14,28" VHF_14 CCI_14
20171221 118831 118831 116555 117465 27830 3594000000 9409000 1213761000000 1465861 712 72.81160038383622 91.39840816230131 35.0 50.0 -15.0 4320.040925330272 45.14163780835817 64.83712679732241 37.961511145445186 36.0 25.755457933972313 17.3875680320825 -25.419689765111276 84.74928037200145 20.92148131346235 19.448466323489544 23.4612844135308 32.61350063965876 18.753582575545323 22.186874356197578 22.219773120219998 28.621290029603774 51.850747078124584 136.54796603725762 -3476.382170731094 0.03298058693639555 37.010271210124984 12634144.057564571 -100.88016222296956 178.06373626373627 18.59675893071085 10927.0 49.07865440749506 910.0 -943.1428571428571 2.823438543867649 -25.0 25.0 52.472527472527474 -32.81733746130031 29.84786954910281 12.907339189572117 8.23471655211617 47.99472021666778 36.0 -0.7493632109567944 5.129666289298031 4957.745559285213 3706.316840770069 12.493135639758375 38.17441161899977 41.66666666666667 62.98537430002934 31.80950275481034 47.74842051571641 -25.681275979241395 -0.017570196197488813 2732.0 2264.263736263718 0.3466764275256223 -32.234010650109035
20171222 118377 125660 116555 124295 51259 6879000000 9409000 1284328000000 1467600 26568 85.42732855680654 109.89138305575669 30.0 45.0 -15.0 4661.8237163781105 58.49124328939412 64.9795009345601 37.91554659397685 48.8367935851273 73.21330509139406 40.0 -7.20199672706181 100.95019792531237 28.466197449690483 16.735268708002504 23.639231265870443 31.38542400473795 33.39667583509073 16.411064512376484 23.804117074234824 28.476614558869635 69.9961561693482 100.00646057434506 52941.00370323075 0.4665177509091643 35.68013089656688 13752458.72414884 -42.33955489003568 544.3208791208791 18.628378891127454 6828.0 49.240491438542044 910.0 -390.35714285714283 10.603719288933421 25.0 39.16666666666667 73.07692307692308 -17.750257997936014 35.79493564608309 -49.99477096841665 10.588600072347683 57.10943950946408 48.836793585127296 0.9884735513047086 15.398013161511223 4798.969068711423 2795.917282887184 85.00823723228996 40.19449840355885 44.90070381494598 50.868942238344665 58.40886999355015 53.07864525463328 44.813738828731104 -0.006235014798419744 9105.0 4678.700244200285 0.2790673919150132 85.09470576330266
20171226 124750 127027 123385 124750 36908 5079000000 9409000 1289033000000 1468953 12345 83.65118587509768 107.61388597077644 25.0 40.0 -15.0 4588.979165208245 59.22569017884539 64.86272216378322 37.96388883657819 58.10654399762576 85.48249964574183 27.994728750274543 -12.079406602429756 88.0347726480481 28.98025682821535 15.786569561630227 24.055858911267624 30.486886049517025 33.84049056327903 14.650770810236594 25.90670983241345 29.81289945549735 87.14110891461922 89.86374633897873 1333.2072891105838 0.6083275190569984 35.562939666565626 13335002.130496815 11.720152378989802 732.4505494505495 18.687593186998697 4553.0 49.38476050129693 910.0 -32.642857142857146 4.212846453042598 60.0 39.16666666666667 74.72527472527473 4.643962848297212 41.46435124419804 -55.809796210225244 17.645082941450053 57.642045705833624 58.106543997625764 1.1046849296346553 30.03545270534953 5272.742326613083 2459.041400605144 78.25630252100841 58.58589179768569 62.71173820781058 49.75970289647427 68.33258625727927 60.70561575595627 19.670410723322718 0.0020338139607468386 3642.0 5894.474358974447 0.3378246030568334 133.5894589147424
20171227 124750 126571 122929 124750 22541 3084000000 9409000 1289033000000 1464872 707 86.99701282727112 112.50530414597009 20.0 35.0 -15.0 4521.337796264799 59.2256901788454 65.44183858259807 37.82871970791071 67.18481916134789 91.93354116480091 48.83792205138683 -16.10433099924579 90.50758925470245 27.312828480292772 15.59865605209197 24.28747293979348 29.780514624126276 30.113505870458145 14.41616606134761 27.152670628706616 31.130111413525608 96.87682328311082 72.61156079800199 0.0 0.5541637595284992 36.21928055396438 14238253.121104002 -98.24477420355771 746.4681318681319 18.714071826417467 8650.0 49.65307115141668 911.0 292.57142857142856 4.421999047457134 85.0 48.33333333333333 75.0 19.917440660474718 44.65740212720274 -58.138822207467186 -11.426599316035515 57.642045705833624 67.18481916134789 1.043258833496841 40.64794353213964 5334.19809113893 2456.4430089143034 78.25630252100841 80.50694742476902 80.30217311724184 62.638205046665995 73.29444438914385 67.00003007255006 -2.250644903760616 0.006995634478542914 3642.0 6068.233211233266 0.39060462562624393 108.36863946936725
20171228 123839 129758 123839 126116 37688 5264000000 9409000 1303146000000 1455781 9223 92.9248108623788 117.04522763578275 100.0 30.0 70.0 4621.170810817313 61.73512138426402 66.04778913464246 37.585838726417975 70.7673074973815 89.18967052537846 43.58772176851591 -9.523461186691176 97.49888407387532 29.740094745765028 14.171552573154669 25.085099377034147 29.415876434496766 34.1754951880061 11.948479919018014 29.95761077962133 33.13424884088042 124.13845338180715 71.05780346820809 6481.245691382766 0.7001263129455302 37.056478489660776 14801005.020017669 28.848054690630555 725.454945054945 18.8403834081862 6375.0 50.08284669912728 910.0 585.2857142857143 7.186547127502269 95.0 78.33333333333333 75.0 52.73477812177503 52.466479821572904 -48.56604957640414 -4.615332635064364 59.39756358713181 70.7673074973815 1.326788727041834 44.192705747222554 5220.569810169876 2433.2871185083977 72.41536014542149 76.3093217291462 75.99789146923595 73.00393426476265 72.85490226728267 69.92746616991636 -3.8939615837247175 0.012269084057488472 5919.0 6239.499389499382 0.43075311686995305 131.75067337004614
20180102 125660 129303 123839 127937 38186 5333000000 9409000 1321964000000 1460330 2975 103.12771701825835 121.59295127795527 95.0 25.0 70.0 4681.372895758934 64.93193432063413 67.64477036500173 37.02751297265385 73.52884180608487 94.59483526268923 35.297157622739014 0.21555019138793027 91.30053163247321 27.26066523240771 12.990071276596996 25.825752497329052 28.656483192260495 28.905287843856552 10.105903351386251 32.38855891041408 32.53511088072405 140.35297291048514 63.09486455391695 7889.517586983412 0.6416993204551955 39.89419127656521 14872543.799470663 -9.247952784666369 687.4021978021977 19.02232229327103 8651.0 50.584376321258794 910.0 878.0714285714286 6.495784945014422 95.0 86.66666666666667 79.67032967032968 82.04334365325077 62.38406925606952 -71.7954494255463 -15.939907059647336 61.67772450976433 73.52884180608487 1.5930892879397334 53.07680996652362 4967.918748719382 2332.07367586668 86.20768007271074 78.95978091304698 79.0118769998373 78.43731386210489 79.5312911699967 74.72937866995653 7.24789915966376 0.018348254407118708 5464.0 5614.4688644688285 0.4117305083650927 132.81684545093512
20180103 126571 128393 124750 126571 38624 5371000000 9409000 1307851000000 1463819 -1798 92.0025479385859 102.10630968070103 90.0 20.0 70.0 4607.203403204724 60.70487177227555 67.57182398553591 37.05559588794965 64.99743758693901 89.70540732605465 27.77743883838692 -7.268885356955024 97.2968468508913 25.72098618836702 12.25639363686741 26.513501823317178 27.951332324469668 25.83980742823514 9.034146205317159 34.4953806237678 32.01585798192187 114.7594699697537 72.3736308199185 -3889.6785136434337 0.38343544117736444 41.387489484003254 14523572.464740798 65.4164442899747 711.4417582417583 19.129837875579256 11382.0 50.872882335397165 455.0 487.7857142857143 4.242462148527602 85.0 90.83333333333333 79.12087912087912 89.57688338493293 52.69683376149278 -56.24656781987919 -6.152650606480386 59.001032206796324 64.99743758693901 1.2969058284773132 47.74697450239641 5059.12714097713 2309.660673188753 53.33138087567726 70.6514736979366 73.97322100195576 76.32766315700952 66.43133602283699 70.58035734639677 -17.320092822259333 0.018261518377079622 3643.0 4938.368742368722 0.4666520243063182 107.09177540837749
20180104 127027 127482 121108 121108 35143 4760000000 9409000 1251397000000 1465769 -3278 84.26244178242388 95.1030428322243 85.0 15.0 70.0 4733.4031601186725 47.08432178670176 67.02547568374621 36.566059252812174 60.00067583550164 70.31367973093555 -4.163997437540039 1.1905008278846398 104.35413288581019 23.2469950296232 16.573398567891573 25.816769038593673 26.6911627713938 21.283050024770596 17.51715443586941 31.190111916621728 28.747414585280286 107.57762321541482 85.1384642782939 -27511.169225177964 0.2631799107361563 42.40812793271061 15057219.926099807 1.392230194217653 438.27912087912085 19.3368995629005 9562.0 50.725356213639714 455.0 260.14285714285717 7.422853070193504 -10.000000000000009 62.5 50.0 78.0185758513932 55.05370954178319 11.53163808397398 2.9829219523388075 49.70972801730959 60.00067583550164 0.09627656598739745 13.66127052006177 4252.9948835605055 2628.6182148448106 0.0 46.513020316129435 52.38128442925877 68.45546081035047 33.215668011418494 51.898012678907634 -46.513020316129435 0.006026333490005142 6374.0 3442.4664224664593 0.3538674686581286 15.06962554376332
20180105 122018 127482 121563 126571 34748 4789000000 9409000 1307851000000 1473179 6506 107.29648103235255 131.40244681122775 80.0 10.0 70.0 4850.588648681624 57.64386073510464 67.5962235869177 37.04785308354645 62.85615664616543 82.75770658183745 16.667276787348538 9.1370254373625 115.18101058717995 21.064986720191488 15.017787042850125 25.16980288135042 26.16272219813593 17.684639192192687 14.555458710651001 28.325545703761797 27.4864599990081 113.43430369787568 83.34037340542368 26699.72008455263 0.6700255019131026 44.07630920012264 15095192.034815326 158.04274099179665 400.2835164835165 19.49918593056225 9560.0 51.16622044802023 455.0 357.64285714285717 6.66628701466669 -14.999999999999991 56.666666666666664 64.01098901098901 77.29618163054695 53.446510742469414 -28.57232507059931 -6.942622700790044 57.001815517299825 62.85615664616543 1.2434297867145112 7.010144358776747 4079.5192106173395 2582.7266057688953 63.15606936416185 38.82915007994647 37.73467611587716 54.69639384903042 48.185868687790176 50.041940683348905 24.32691928421538 0.008166681098049772 6374.0 2803.34065934064 0.3286054976779214 58.25257326470839
20180108 126571 127482 124750 127027 34419 4788000000 9409000 1312555000000 1475416 2854 113.34260750719969 140.01263007605502 75.0 5.0 70.0 4699.260888061509 58.41352936591653 67.73619602073089 38.664833667253724 58.0664588351991 74.14224039990911 30.908074434949285 -1.4235711421812536 119.85428515338752 20.190236032333804 14.394154105391813 24.569048592481685 25.67202738011077 16.32001236231483 13.43229361455435 25.842921652616525 26.39363269090554 102.9897718332022 86.30400770249128 984.2633778669679 0.5017404229916904 47.46620794880755 14701922.788968787 -72.09441245785531 474.33186813186813 19.517250431205866 5920.0 51.54182170816094 455.0 195.14285714285714 3.09732979799732 -25.0 50.0 69.5054945054945 76.47058823529412 51.328675017550715 -30.559453358550424 -13.700773188122387 57.55505376886367 58.06645883519909 1.2265491778501 13.758396753215738 4267.097796165542 2521.102208661947 72.22696766320928 45.12767900912382 44.6440478525201 44.92000279921854 60.20641817549973 55.124179429424316 27.099288654085463 0.00956766251323471 2732.0 2838.3778998779017 0.3709791696188182 80.25149558527156
